;;;;A;C;C;C;I;Ó;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;if;let;for;=';int;boolean;string;id;put;get;return;<;!;+';entero;cadena;true';false';--;,;";";{;};(;);void;function;$;;;;;;;;;;;;;;;;;;;;;;;;
0;d5;d6;d7;;;;;d8;d9;d10;d11;;;;;;;;;;;;;;;;d14;r3;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;aceptar ;;;;;;;;;;;;;;;;;;;;;;;;
2;d5;d6;d7;;;;;d8;d9;d10;d11;;;;;;;;;;;;;;;;d14;r3;;;;;;;;;;;;;;;;;;;;;;;;
3;d5;d6;d7;;;;;d8;d9;d10;d11;;;;;;;;;;;;;;;;d14;r3;;;;;;;;;;;;;;;;;;;;;;;;
4;r5;r5;r5;;;;;r5;r5;r5;r5;;;;;;;;;;;;;;;;r5;r5;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;d16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;d49;d51;d50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;d52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;d66;;;;;;;;;;;;;;;;;;;;d67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;d23;;;;;d19;;d26;d27;d28;d29;d25;;;;;d24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;d23;;;;;d19;;d26;d27;d28;d29;d25;;;;;d24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;d23;;;;;d19;;d26;d27;d28;d29;d25;;r19;;;d24;;;;r19;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;;;d75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;;;;;d13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;d80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;;;;;;;;r1;;;;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;d23;;;;;d19;;d26;d27;d28;d29;d25;;;;;d24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;;;;;d30;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;d33;;;;;;;;r20;r20;;;;r20;;;r20;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;d23;;;;;;;d26;d27;d28;d29;d25;;;;;d24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;r23;;d36;;;;;;r23;r23;;;;r23;;;r23;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;r25;;r25;;;;;;r25;r25;;;;r25;;;r25;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;r26;;r26;;;;;;r26;r26;;;;r26;;;r26;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;r27;;r27;;;;;;r27;r27;;;d38;r27;;;r27;;;;;;;;;;;;;;;;;;;;;;;;
24;;;;;;;;d23;;;;;d19;;d26;d27;d28;d29;d25;;;;;d24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;d31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;r30;;r30;;;;;;r30;r30;;;;r30;;;r30;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;r31;;r31;;;;;;r31;r31;;;;r31;;;r31;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;r32;;r32;;;;;;r32;r32;;;;r32;;;r32;;;;;;;;;;;;;;;;;;;;;;;;
